repo,commit,ground_truth_mode,seed_file,predicted_files,actual_files,true_positives,precision,recall,f1,status,error
express,925a1dff1e42f1b393c977b8b77757fcf633e09f,graph-derived (circular — upper bound),,2,1,1,0.5,1.0,0.667,ok,
express,925a1dff1e42f1b393c977b8b77757fcf633e09f,"co-change (same commit, seed excluded)",package.json,,,,,,,skipped,single-file commit: no co-changed files to grade against
express,b4ab7d65d7724d9309b6faaaf82ad492da2a6d35,graph-derived (circular — upper bound),,2,1,1,0.5,1.0,0.667,ok,
express,b4ab7d65d7724d9309b6faaaf82ad492da2a6d35,"co-change (same commit, seed excluded)",test/res.type.js,,,,,,,skipped,single-file commit: no co-changed files to grade against
