repo,commit,predicted_files,actual_files,true_positives,precision,recall,f1
code-review-graph,528801f841e519567ef54d6e52e9b9831d162e1b,6,3,3,0.5,1.0,0.667
code-review-graph,84bde35459c52e1e0c4b25c6c4799743021e0fc7,3,2,2,0.667,1.0,0.8
