repo,commit,predicted_files,actual_files,true_positives,precision,recall,f1
fastapi,fa3588c38c7473aca7536b12d686102de4b0f407,1,1,1,1.0,1.0,1.0
fastapi,0227991a01e61bf5cdd93cc00e9e243f52b47a4a,2,1,1,0.5,1.0,0.667
