repo,commit,predicted_files,actual_files,true_positives,precision,recall,f1
flask,fbb6f0bc4c60a0bada0e03c3480d0ccf30a3c1df,34,10,10,0.294,1.0,0.455
flask,a29f88ce6f2f9843bd6fcbbfce1390a2071965d6,6,4,4,0.667,1.0,0.8
