repo,commit,description,changed_files,naive_tokens,standard_tokens,graph_tokens,naive_to_graph_ratio,standard_to_graph_ratio,status,error
httpx,ae1b9f66238f75ced3ced5e4485408435de10768,Expose FunctionAuth in __all__,3,16816,267,28294,0.6,0.0,ok,
httpx,b55d4635701d9dc22928ee647880c76b078ba3f2,Upgrade Python type checker mypy,4,7248,820,21378,0.3,0.0,ok,
